2022-02-15 04:29:15.972 ERROR 2010 --- [XNIO-1 task-27] l.server.io.HandshakeInterceptorImpl     : Authentication failed from /8.26.182.130:50256
2022-02-15 04:29:18.408 ERROR 2010 --- [XNIO-1 task-20] l.server.io.HandshakeInterceptorImpl     : Authentication failed from /209.141.51.222:18006
2022-02-15 05:53:11.448  INFO 2010 --- [XNIO-1 task-26] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:53:11.450  INFO 2010 --- [XNIO-1 task-26] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:53:11.452  INFO 2010 --- [XNIO-1 task-31] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:53:11.461  INFO 2010 --- [XNIO-1 task-1] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:53:11.461  INFO 2010 --- [XNIO-1 task-32] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:53:11.471  INFO 2010 --- [XNIO-1 task-3] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:53:11.814  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:53:11.820  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-124] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:53:11.822  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:53:11.823  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-138] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:53:11.827  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:53:11.828  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:53:11.843  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-137] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:53:11.849  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:53:11.998  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-136] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:53:12.003  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:53:12.163  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
